time,ax,ay,az
0.006,0.30,0.20,-1.08
0.007,-0.07,0.18,-1.07
0.011,-0.28,0.35,-0.93
0.016,-0.36,0.36,-0.70
0.021,-0.32,0.37,-0.39
0.026,-0.28,0.33,-0.05
0.031,-0.28,0.19,0.19
0.036,-0.35,0.07,0.44
0.041,-0.36,0.01,0.71
0.046,-0.40,-0.14,1.06
0.051,-0.42,-0.18,1.28
0.056,-0.43,-0.18,1.53
0.061,-0.50,-0.11,1.67
0.066,-0.45,-0.09,1.71
0.071,-0.21,0.09,1.44
0.077,-0.06,0.23,1.13
0.081,0.16,0.26,0.79
0.086,0.17,0.34,0.35
0.092,0.17,0.11,-0.16
0.096,0.10,-0.01,-0.60
0.101,0.15,-0.02,-0.81
0.106,0.50,-0.20,-0.80
0.112,0.48,0.05,-0.68
0.116,0.32,0.35,-0.52
0.121,0.25,0.48,-0.24
0.126,0.23,0.47,0.01
0.132,0.09,0.23,0.20
0.137,0.14,-0.04,0.49
0.142,0.20,-0.28,0.78
0.147,0.13,-0.43,1.18
0.152,0.00,-0.45,1.41
0.157,0.03,-0.40,1.64
0.167,0.06,-0.32,1.79
0.168,0.13,-0.15,1.85
0.172,0.22,0.09,1.80
0.181,0.19,0.38,1.66
0.182,0.05,0.71,1.63
0.188,-0.26,0.82,1.37
0.196,-0.60,0.56,1.07
0.201,-0.81,-0.04,0.52
0.202,-0.90,-0.68,-0.10
0.207,-0.96,-1.02,-0.66
0.212,-0.95,-0.96,-1.04
0.217,-0.92,-0.70,-1.18
0.222,-0.75,-0.34,-1.23
0.227,-0.40,-0.03,-1.08
0.232,-0.01,0.17,-0.76
0.237,0.30,0.28,-0.43
0.242,0.53,0.19,-0.04
0.247,0.75,0.09,0.44
0.252,0.98,-0.00,0.83
0.257,1.02,-0.21,1.14
0.264,0.86,-0.35,1.47
0.267,0.48,-0.23,1.73
0.273,0.05,-0.19,1.82
0.279,-0.25,-0.44,1.69
0.283,-0.39,-0.96,1.35
0.288,-0.40,-1.65,0.75
0.293,-0.35,-2.09,-0.04
0.301,-0.09,-2.07,-0.64
0.303,0.28,-1.58,-0.90
0.308,0.66,-0.99,-0.93
0.313,0.96,-0.37,-0.81
0.318,1.05,0.15,-0.55
0.323,0.95,0.48,-0.14
0.328,0.75,0.64,0.25
0.334,0.36,0.63,0.61
0.338,-0.18,0.60,0.83
0.343,-0.55,0.56,0.97
0.348,-0.66,0.50,1.05
0.353,-0.57,0.57,1.03
0.358,-0.44,0.72,0.90
0.363,-0.45,0.82,0.60
0.368,-0.50,0.66,0.14
0.373,-0.43,0.05,-0.56
0.378,-0.19,-0.67,-1.45
0.383,0.15,-1.11,-2.33
0.388,0.63,-1.20,-2.68
0.393,1.19,-1.07,-2.56
0.398,1.66,-0.83,-2.10
0.403,1.84,-0.47,-1.64
0.408,1.74,-0.03,-1.06
0.413,1.52,0.19,0.02
0.418,1.06,0.23,0.94
0.423,0.34,0.21,1.33
0.429,-0.36,0.10,1.61
0.434,-0.94,0.04,1.85
0.439,-1.40,0.13,1.94
0.444,-1.65,0.32,2.09
0.449,-1.42,0.36,2.11
0.454,-0.91,0.17,1.94
0.459,-0.58,0.01,1.60
0.476,-0.35,-0.03,1.27
0.477,-0.11,-0.04,1.02
0.478,0.39,-0.13,0.06
0.478,1.39,-0.17,-1.27
0.484,2.08,-0.22,-0.24
0.489,2.11,-0.47,0.87
0.494,2.09,-0.82,1.17
0.499,1.67,-0.95,0.39
0.504,1.34,-0.95,-0.34
0.509,1.08,-0.95,-0.84
0.514,0.51,-0.85,-1.26
0.519,-0.02,-0.59,-1.66
0.524,-0.12,-0.41,-2.78
0.529,-0.05,-0.25,-2.93
0.534,0.42,-0.23,-2.68
0.539,0.92,-0.33,-2.61
0.544,1.33,-0.58,-2.91
0.549,1.39,-0.73,-2.75
0.554,1.55,-0.53,-2.90
0.559,1.51,0.44,-2.58
0.565,1.21,1.22,-1.22
0.569,-0.14,2.09,3.71
0.575,0.04,2.81,5.91
0.583,-0.25,2.47,4.92
0.585,-0.30,1.95,4.62
0.590,-0.04,1.55,3.93
0.595,-0.04,1.68,3.28
0.600,-0.55,1.66,2.65
0.604,-1.34,1.58,1.58
0.609,-2.29,1.56,0.28
0.615,-2.99,1.23,-0.94
0.620,-3.40,0.60,-1.84
0.625,-3.58,-0.08,-2.25
0.630,-3.29,-0.70,-2.31
0.635,-3.07,-1.20,-1.83
0.640,-2.52,-1.61,-0.94
0.645,-1.94,-1.36,0.12
0.650,0.08,-0.00,0.86
0.655,1.50,1.38,1.69
0.660,1.91,1.43,2.25
0.669,1.25,0.83,1.78
0.670,0.54,0.34,1.01
0.675,1.12,0.07,0.09
0.684,1.39,-0.18,-0.72
0.685,1.67,-0.32,-0.80
0.690,1.56,-0.51,-1.36
0.695,0.79,0.08,-1.62
0.700,-0.51,1.05,-1.36
0.705,-1.15,1.78,-0.94
0.710,-1.36,2.07,-0.10
0.715,-0.93,1.71,-0.12
0.720,-1.67,1.46,-0.16
0.725,-1.71,1.40,-0.02
0.732,-1.35,1.52,0.04
0.735,-0.52,1.32,-0.59
0.740,0.05,1.00,-1.02
0.745,0.29,0.62,-1.17
0.750,0.39,0.39,-1.24
0.756,0.24,0.30,-1.48
0.761,0.39,0.24,-1.58
0.766,0.82,0.09,-1.34
0.770,0.70,-0.10,-0.79
0.776,0.71,-0.97,-1.02
0.782,0.51,-0.63,-0.41
0.782,0.66,-0.55,-0.64
0.789,1.04,-0.10,-0.06
0.790,1.33,-0.08,-0.04
0.796,0.70,-0.11,-0.54
0.801,0.38,-0.53,-0.57
0.806,0.09,-0.93,-0.68
0.811,-0.18,-0.69,0.08
0.816,0.12,-0.43,1.15
0.821,0.39,-0.36,1.27
0.826,0.56,-0.83,0.57
0.831,0.39,-0.85,0.18
0.836,0.51,-0.58,0.08
0.841,0.75,-0.78,0.40
0.846,1.04,-1.00,1.24
0.852,1.19,-1.71,1.83
0.856,1.17,-2.63,2.51
0.861,0.96,-3.54,2.76
0.868,1.03,-3.85,2.55
0.871,2.01,-3.69,2.24
0.876,2.42,-3.48,1.70
0.881,2.00,-3.14,0.76
0.886,1.32,-2.91,-0.28
0.891,0.76,-2.52,-0.90
0.896,0.08,-2.07,-0.92
0.901,-0.36,-1.65,-0.76
0.906,-0.57,-1.50,-0.38
0.911,-0.97,-1.45,-0.47
0.916,-1.22,-1.26,0.24
0.921,-1.41,-1.20,0.70
0.926,-1.56,-1.35,1.10
0.931,-1.35,-1.45,1.27
0.937,-0.75,-1.52,1.36
0.941,-0.33,-1.52,0.96
0.946,-0.11,-1.27,0.17
0.952,-0.12,-0.79,-0.24
0.956,-0.14,-0.38,-0.19
0.962,-0.14,-0.17,0.11
0.968,-0.12,-0.14,0.53
0.972,-0.07,-0.01,0.79
0.977,0.11,0.02,0.83
0.982,0.47,0.03,0.91
0.987,0.80,-0.01,1.49
0.992,0.68,0.08,1.76
0.997,0.44,0.35,1.41
1.002,0.23,0.78,1.03
1.007,-0.04,1.17,0.71
1.012,-0.39,1.60,0.23
1.017,-0.83,1.94,-0.00
1.022,-1.26,2.42,-0.28
1.027,-1.49,2.82,-0.49
1.032,-1.61,3.15,-0.55
1.037,-1.76,3.51,-0.67
1.042,-1.95,3.82,-0.72
1.047,-2.00,4.12,-0.68
1.052,-0.24,4.45,-0.39
1.057,-0.40,4.32,-1.52
1.062,-2.79,4.15,-2.81
1.069,-4.21,4.35,-2.75
1.073,-3.83,4.63,-2.33
